a-cute-little-crock-pot,modrinth,a-cute-little-crock-pot,1.14.1+1.20.6,1.14.1+1.20.6,false
animal_feeding_trough,modrinth,animal_feeding_trough,1.1.0+1.20.6,eYmkjntQ,false
archon,modrinth,archon,0.7.41,QHdOQAND,false
bedrockify,modrinth,bedrockify,1.9.5+mc1.20.6,5SkKDYU3,false
carryon,modrinth,carry-on,2.1.4.1,ZViMsjtX,false
chisel-reborn,modrinth,chisel-reborn,1.8.0,K5qDL6MM,false
croptopia,curse,415438,5407353,5407353,false
dismount-entity,modrinth,dismount-entity,1.20.6-3.5-fabric+forge+neo,H8wzRcpU,false
dramatic-doors,modrinth,dramatic-doors,1.20.6-3.2.2,zn9MXnnn,false
expanded-delight,modrinth,expanded-delight,0.3.2-fabric,4KEfJPHI,false
extended-drawers,modrinth,extended-drawers,3.0.0-beta.1+mc.1.20.6,1fS4d2yg,false
friends-and-foes,modrinth,friends-and-foes,fabric-mc1.20.6-3.0.6,ttW14dpC,false
goblin-traders,curse,363703,5332684,5332684,false
happiness-is-a-warm-gun,modrinth,happiness-is-a-warm-gun,2.2.0,63c6FSFq,false
macaws_bridges,modrinth,macaws-bridges,3.0.0,sQWHD7ii,false
macaws_doors,modrinth,macaws-doors,1.1.1,LRi67f6j,false
macaws_lights,modrinth,macaws-lights-and-lamps,1.1.1,zVP1nHvU,false
macaws_roofs,modrinth,macaws-roofs,2.3.1,kc02RCUl,false
macaws_windows,modrinth,macaws-windows,2.3.2,tP6ekX0o,false
mcpitanlibarch,modrinth,mcpitanlibarch,2.3.2-fix.1+1.20.6-fabric,Wko1UUzk,false
natures-compass,modrinth,natures-compass,1.20.6-2.2.5-fabric,QVKr4BEc,false
no-strip,modrinth,no-strip,1.2.3,1.2.3,false
omni-hopper,modrinth,omnihopper,2.3.1+1.20.6,4fVHS1ix,false
patchouli,modrinth,patchouli,1.20.6-86-fabric,vdu73DZ0,false
toms-storage,modrinth,toms-storage,1.20.6-1.6.20-fabric,FpbYdAH4,false
travelers_backpack,modrinth,travelersbackpack,1.20.6-9.6.4,AzNT1Qxf,false
trinkets,modrinth,trinkets,3.9.0,SGjPO8H9,false
universal-graves,modrinth,universal-graves,3.3.3+1.20.5,lrkSxqPt,false
youre-in-grave-danger,modrinth,yigd,2.3.0,WyrNGfm1,false
